text,label
"I'm feeling a bit nervous, but I think I'll be okay.","Low Anxiety"
"I have studied well and I am confident about the outcome.","Low Anxiety"
"A little bit of pressure helps me perform better.","Low Anxiety"
"I'm calm and ready for the exam.","Low Anxiety"
"I feel prepared and organized.","Low Anxiety"
"I'm looking forward to finishing this exam.","Low Anxiety"
"I've done my best during preparation.","Low Anxiety"
"I'm not worried about the results.","Low Anxiety"
"I feel relaxed and focused.","Low Anxiety"
"Everything is under control.","Low Anxiety"
"I believe in my hard work.","Low Anxiety"
"The exam pattern seems manageable.","Low Anxiety"
"I have practiced enough mock tests.","Low Anxiety"
"I'm just a little anxious, which is normal.","Low Anxiety"
"I'm staying positive and calm.","Low Anxiety"
"I have a good understanding of the topics.","Low Anxiety"
"I'm ready to face the challenge.","Low Anxiety"
"I feel steady and prepared.","Low Anxiety"
"I am well-rested and ready.","Low Anxiety"
"I know I can do this.","Low Anxiety"
"I'm feeling quite stressed and unsure about some topics.","Moderate Anxiety"
"I'm worried I might forget what I've studied.","Moderate Anxiety"
"The pressure is starting to get to me.","Moderate Anxiety"
"I'm losing sleep over the upcoming finals.","Moderate Anxiety"
"I can't seem to focus properly today.","Moderate Anxiety"
"I'm feeling restless and uneasy.","Moderate Anxiety"
"I keep thinking about the what-ifs.","Moderate Anxiety"
"My heart starts racing when I think about the exam.","Moderate Anxiety"
"I'm feeling a bit overwhelmed by the syllabus.","Moderate Anxiety"
"I'm having trouble concentrating on revision.","Moderate Anxiety"
"I hope I can pass this time.","Moderate Anxiety"
"I feel like I haven't done enough.","Moderate Anxiety"
"The competition is making me nervous.","Moderate Anxiety"
"I'm feeling some pressure from my parents.","Moderate Anxiety"
"I'm worried about the time limit.","Moderate Anxiety"
"I'm not sure if I remember the formulas.","Moderate Anxiety"
"I feel a bit shaky thinking about the hall.","Moderate Anxiety"
"I am struggling to manage my time.","Moderate Anxiety"
"I feel like I'm falling behind.","Moderate Anxiety"
"I'm anxious about the difficult questions.","Moderate Anxiety"
"I'm absolutely terrified and I can't breathe.","High Anxiety"
"I feel like I'm going to fail no matter what.","High Anxiety"
"The stress is unbearable and I want to give up.","High Anxiety"
"I'm having panic attacks every night.","High Anxiety"
"I can't eat or sleep because of the exam fear.","High Anxiety"
"I feel completely paralyzed by anxiety.","High Anxiety"
"My mind goes blank every time I open the book.","High Anxiety"
"I'm scared of what will happen if I fail.","High Anxiety"
"I feel a huge weight on my chest.","High Anxiety"
"I'm constantly crying because of the pressure.","High Anxiety"
"I can't handle this much stress anymore.","High Anxiety"
"The thought of the exam makes me want to scream.","High Anxiety"
"I feel like I'm losing my mind.","High Anxiety"
"I am so stressed I feel physically sick.","High Anxiety"
"Everything feels hopeless right now.","High Anxiety"
"I've lost all confidence in myself.","High Anxiety"
"I feel like my whole future depends on this one test.","High Anxiety"
"The anxiety is making me feel dizzy.","High Anxiety"
"I can't stop shaking when I try to study.","High Anxiety"
"I feel like I'm drowning in my thoughts.","High Anxiety"
"I'm just a bit tense, but I'll manage.","Low Anxiety"
"I feel prepared for the questions.","Low Anxiety"
"I'm confident in my revision.","Low Anxiety"
"I'm taking deep breaths and staying calm.","Low Anxiety"
"I'm ready for the exam day.","Low Anxiety"
"I feel a moderate amount of stress, but it's okay.","Moderate Anxiety"
"I'm worried about the passing marks.","Moderate Anxiety"
"The syllabus is quite vast, and I'm nervous.","Moderate Anxiety"
"I'm feeling quite jittery today.","Moderate Anxiety"
"I'm concerned about the exam difficulty.","Moderate Anxiety"
"I'm in a state of total panic.","High Anxiety"
"I feel like my brain has stopped working.","High Anxiety"
"The exam pressure is crushing me.","High Anxiety"
"I'm so scared I can't even open my books.","High Anxiety"
"I feel like I'm at a breaking point.","High Anxiety"
"I'm feeling good and well-rested.","Low Anxiety"
"I feel like I've got this.","Low Anxiety"
"I'm nervous about the results, but I did my best.","Moderate Anxiety"
"I feel like I'm under a lot of pressure lately.","Moderate Anxiety"
"I'm feeling extremely overwhelmed and helpless.","High Anxiety"
"I feel like I'm having a breakdown over these exams.","High Anxiety"
